match_no,inning_no,over_range,runs,run_rate,wickets,6s,4s,dot_count,balls_played
26,2,7-15,57,6.333333333333333,3,1,2,16,56
26,2,16-20,40,7.999999999999997,3,1,5,11,30
27,1,0-6,59,9.833333333333334,0,2,6,10,36
27,1,7-15,71,7.888888888888889,0,2,4,11,56
27,1,16-20,44,8.799999999999997,4,2,3,10,31
27,2,0-6,49,8.166666666666666,4,3,5,18,37
27,2,7-15,76,8.444444444444445,3,5,3,21,55
27,2,16-20,25,6.9444444444444455,3,1,1,5,21
28,1,0-6,35,5.833333333333333,3,0,6,21,38
28,1,7-15,59,6.555555555555555,5,3,3,24,57
28,1,16-20,33,6.599999999999998,2,3,1,21,35
28,2,0-6,61,10.166666666666666,1,0,12,15,38
28,2,7-15,43,4.777777777777778,3,0,5,26,54
28,2,16-20,24,5.217391304347826,2,0,0,9,29
29,1,0-6,45,7.5,1,1,5,16,37
29,1,7-15,57,6.333333333333333,4,1,3,14,54
29,1,16-20,32,6.399999999999998,2,0,3,9,31
29,2,0-6,60,10.0,0,1,9,12,36
29,2,7-15,51,5.666666666666667,2,0,3,17,54
29,2,16-20,27,7.105263157894739,1,0,4,8,22
30,1,0-6,40,6.666666666666667,1,0,5,18,36
30,1,7-15,52,5.777777777777778,3,1,3,19,54
30,1,16-20,43,8.599999999999996,2,3,1,8,30
30,2,0-6,53,8.833333333333334,0,1,8,13,36
30,2,7-15,53,5.888888888888889,2,1,4,25,55
30,2,16-20,22,4.399999999999999,5,0,0,11,30
31,1,0-6,58,9.666666666666666,1,3,4,13,39
31,1,7-15,59,6.555555555555555,3,2,4,26,58
31,1,16-20,96,19.199999999999992,4,9,7,6,32
31,2,0-6,54,9.0,1,3,5,15,39
31,2,7-15,95,10.555555555555555,1,4,10,10,54
31,2,16-20,52,10.399999999999997,4,4,2,8,30
32,1,0-6,62,10.333333333333334,2,3,8,14,36
32,1,7-15,94,10.444444444444445,2,3,7,10,57
32,1,16-20,33,6.599999999999998,5,0,3,10,32
32,2,0-6,47,7.833333333333333,1,1,8,18,36
32,2,7-15,74,8.222222222222221,2,3,5,13,55
32,2,16-20,61,12.199999999999996,3,2,5,4,35
33,1,0-6,59,9.833333333333334,0,4,4,14,36
33,1,7-15,101,11.222222222222221,2,7,7,13,54
33,1,16-20,75,14.999999999999995,2,7,3,7,33
33,2,0-6,38,6.333333333333333,2,2,4,22,38
33,2,7-15,99,11.0,3,7,7,13,56
33,2,16-20,49,9.799999999999997,3,3,3,14,35
34,1,0-6,49,8.166666666666666,2,2,6,18,36
34,1,7-15,57,6.333333333333333,3,0,5,17,55
34,1,16-20,38,7.599999999999997,4,0,4,7,30
34,2,0-6,36,6.0,1,0,6,19,36
34,2,7-15,53,5.888888888888889,4,0,2,14,55
34,2,16-20,48,9.599999999999996,1,1,5,6,30
35,1,0-6,50,8.333333333333334,1,1,5,14,38
35,1,7-15,80,8.88888888888889,3,3,7,16,55
35,1,16-20,77,15.399999999999995,2,8,2,5,32
35,2,0-6,29,4.833333333333333,1,1,2,21,37
35,2,7-15,83,9.222222222222221,5,5,6,19,54
35,2,16-20,40,7.999999999999997,3,3,1,10,30
36,1,0-6,66,11.0,0,5,7,17,37
36,1,7-15,65,7.222222222222222,2,1,4,12,58
36,1,16-20,69,13.799999999999995,3,6,5,6,30
36,2,0-6,58,9.666666666666666,3,2,7,10,36
36,2,7-15,80,8.88888888888889,3,3,4,10,55
36,2,16-20,41,8.199999999999998,2,2,1,8,31
37,1,0-6,64,10.666666666666666,0,2,10,14,36
37,1,7-15,75,8.333333333333334,3,2,4,13,57
37,1,16-20,63,12.599999999999996,2,2,8,6,31
37,2,0-6,42,7.0,1,1,4,15,36
37,2,7-15,83,9.222222222222221,4,5,4,13,55
37,2,16-20,45,8.999999999999996,1,1,5,6,30
38,1,0-6,74,12.333333333333334,2,4,9,19,40
38,1,7-15,110,12.222222222222221,1,6,10,12,56
38,1,16-20,73,14.599999999999994,2,3,9,6,33
38,2,0-6,55,9.166666666666666,2,1,7,15,40
38,2,7-15,97,10.777777777777779,2,4,9,12,55
38,2,16-20,49,10.0,6,3,1,13,33
39,1,0-6,61,10.166666666666666,2,4,6,16,37
39,1,7-15,73,8.11111111111111,2,4,4,21,56
39,1,16-20,45,8.999999999999996,3,4,2,12,30
39,2,0-6,52,8.666666666666666,1,0,9,12,37
39,2,7-15,77,8.555555555555555,2,3,6,13,54
39,2,16-20,51,16.99999999999999,0,5,2,1,19
40,1,0-6,62,10.333333333333334,2,1,10,15,39
40,1,7-15,73,8.11111111111111,3,3,5,17,57
40,1,16-20,62,12.399999999999995,1,5,2,5,33
40,2,0-6,57,9.5,1,2,6,10,36
40,2,7-15,81,9.0,3,4,5,11,54
40,2,16-20,50,9.999999999999996,2,2,3,5,33
41,1,0-6,57,9.5,0,1,9,14,39
41,1,7-15,89,9.88888888888889,2,3,9,13,56
41,1,16-20,54,10.799999999999995,2,2,5,8,32
41,2,0-6,62,10.333333333333334,1,2,7,10,37
41,2,7-15,67,7.444444444444445,2,2,3,16,55
41,2,16-20,72,14.399999999999995,3,5,4,5,33
42,1,0-6,65,10.833333333333334,0,2,8,19,42
42,1,7-15,78,8.666666666666666,4,4,7,23,58
42,1,16-20,69,13.799999999999995,3,5,6,8,33
42,2,0-6,58,9.666666666666666,1,1,7,8,39
42,2,7-15,92,10.222222222222221,2,4,9,16,56
42,2,16-20,64,13.617021276595741,1,5,4,6,30
43,1,0-6,42,7.0,0,1,3,11,36
43,1,7-15,50,5.555555555555555,4,0,1,18,56
43,1,16-20,34,6.799999999999997,5,1,2,9,30
43,2,0-6,34,5.666666666666667,4,2,3,24,38
43,2,7-15,44,4.888888888888889,4,2,1,23,54
43,2,16-20,30,6.122448979591836,2,0,4,15,32
44,1,0-6,28,4.666666666666667,5,0,3,23,37
44,1,7-15,50,5.555555555555555,1,2,2,26,57
44,1,16-20,52,10.399999999999997,2,3,4,8,30
44,2,0-6,31,5.166666666666667,3,0,6,26,37
44,2,7-15,48,5.333333333333333,1,1,2,21,56
44,2,16-20,46,9.199999999999998,2,3,1,7,31
45,1,0-6,31,5.166666666666667,3,0,4,19,36
45,1,7-15,42,4.666666666666667,2,1,0,20,54
45,1,16-20,52,11.304347826086957,2,3,2,7,28
46,1,0-6,50,8.333333333333334,1,1,7,16,36
46,1,7-15,95,10.555555555555555,2,2,10,8,60
46,1,16-20,69,13.799999999999995,0,4,4,5,32
46,2,0-6,54,9.0,2,2,7,15,37
46,2,7-15,116,12.88888888888889,0,4,13,6,56
46,2,16-20,46,11.794871794871794,2,3,4,6,23
47,1,0-6,49,8.166666666666666,3,0,7,19,40
47,1,7-15,80,8.88888888888889,2,5,5,18,56
47,1,16-20,42,8.399999999999997,4,1,3,8,31
47,2,0-6,53,8.833333333333334,3,2,4,18,39
47,2,7-15,81,9.0,2,3,6,12,56
47,2,16-20,32,6.399999999999998,3,0,2,12,32
48,1,0-6,50,8.333333333333334,2,2,5,15,37
48,1,7-15,50,5.555555555555555,6,0,4,21,57
48,1,16-20,18,6.206896551724137,2,1,0,7,20
48,2,0-6,49,8.166666666666666,0,0,9,16,37
48,2,7-15,70,8.860759493670885,1,3,5,11,47
48,2,16-20,0,nan,0,0,0,0,0
49,1,0-6,34,5.666666666666667,3,0,4,18,36
49,1,7-15,59,6.555555555555555,1,0,7,20,55
49,1,16-20,46,9.199999999999998,4,1,5,9,31
49,2,0-6,55,9.166666666666666,1,2,7,17,39
49,2,7-15,68,7.555555555555555,2,4,2,15,54
49,2,16-20,17,6.071428571428574,1,1,0,4,16
50,1,0-6,51,8.5,0,1,7,14,36
