_id,batter,category,match_no,score,ballnumber,outcome,four_count,six_count,dot_count,SRF
65fb3b78a95ef4ed608eafc5,David Wiese,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafc6,David Wiese,15-20,3,22,11,2,0,3,4,0.5335365853658537
65fb3b78a95ef4ed608eafc7,David Willey,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafc8,David Willey,7-14,1,11,10,0,1,0,3,0.7407792207792208
65fb3b78a95ef4ed608eafc9,David Willey,15-20,3,25,22,1,3,0,8,0.5478087649402391
65fb3b78a95ef4ed608eafca,Deepak Chahar,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafcb,Deepak Chahar,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafcc,Deepak Chahar,15-20,1,1,2,0,0,0,1,0.6060606060606061
65fb3b78a95ef4ed608eafcd,Deepak Hooda,1-6,6,37,44,5,2,1,20,0.20350841407445178
65fb3b78a95ef4ed608eafce,Deepak Hooda,7-14,5,42,41,4,0,1,10,0.17285552132317172
65fb3b78a95ef4ed608eafcf,Deepak Hooda,15-20,2,13,8,2,2,0,2,0.3071379071379072
65fb3b78a95ef4ed608eafd0,Devdutt Padikkal,1-6,7,135,93,3,17,5,36,1.2898998392943906
65fb3b78a95ef4ed608eafd1,Devdutt Padikkal,7-14,9,86,85,9,5,1,26,0.21536239573201288
65fb3b78a95ef4ed608eafd2,Devdutt Padikkal,15-20,2,50,28,3,9,0,7,0.7493975903614458
65fb3b78a95ef4ed608eafd3,Devon Conway,1-6,15,357,267,12,44,8,100,0.92663734584743
65fb3b78a95ef4ed608eafd4,Devon Conway,7-14,10,279,183,8,25,9,40,1.1175545416125743
65fb3b78a95ef4ed608eafd5,Devon Conway,15-20,6,64,43,4,9,1,12,0.6574333543240973
65fb3b78a95ef4ed608eafd6,Dhruv Jurel,1-6,1,1,7,1,0,0,6,0.21021021021021022
65fb3b78a95ef4ed608eafd7,Dhruv Jurel,7-14,2,11,11,1,1,0,4,0.32706422018348624
65fb3b78a95ef4ed608eafd8,Dhruv Jurel,15-20,9,147,75,4,10,9,10,1.5009916192182204
65fb3b78a95ef4ed608eafd9,Dinesh Karthik,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafda,Dinesh Karthik,7-14,8,34,31,4,2,1,9,0.27332209827996684
65fb3b78a95ef4ed608eafdb,Dinesh Karthik,15-20,10,109,75,9,11,4,25,0.5040930016891333
65fb3b78a95ef4ed608eafdc,Faf du Plessis,1-6,14,396,242,8,40,19,72,1.6267656267362132
65fb3b78a95ef4ed608eafdd,Faf du Plessis,7-14,11,288,204,8,18,12,45,1.0170797546012271
65fb3b78a95ef4ed608eafde,Faf du Plessis,15-20,4,67,37,3,3,5,7,0.892458488270473
65fb3b78a95ef4ed608eafdf,Fazalhaq Farooqi,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafe0,Fazalhaq Farooqi,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafe1,Fazalhaq Farooqi,15-20,1,1,5,0,0,0,4,0.4166666666666667
65fb3b78a95ef4ed608eafe2,Glenn Maxwell,1-6,5,109,60,1,12,7,24,2.1563302752293576
65fb3b78a95ef4ed608eafe3,Glenn Maxwell,7-14,10,239,133,12,13,17,33,0.8588497653914936
65fb3b78a95ef4ed608eafe4,Glenn Maxwell,15-20,5,69,32,3,4,7,11,1.0895811302132117
65fb3b78a95ef4ed608eafe5,Glenn Phillips,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafe6,Glenn Phillips,7-14,2,8,7,2,0,1,4,0.2025462962962963
65fb3b78a95ef4ed608eafe7,Glenn Phillips,15-20,3,31,15,3,2,3,6,0.5399144966964633
65fb3b78a95ef4ed608eafe8,Hardik Pandya,1-6,8,76,69,4,10,1,33,0.5541025986693418
65fb3b78a95ef4ed608eafe9,Hardik Pandya,7-14,9,172,125,4,13,7,33,1.1280067800825262
65fb3b78a95ef4ed608eafea,Hardik Pandya,15-20,6,106,60,4,3,7,11,0.8742060957910015
65fb3b78a95ef4ed608eafeb,Harpreet Brar,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafec,Harpreet Brar,7-14,3,8,10,1,1,0,5,0.27294117647058824
65fb3b78a95ef4ed608eafed,Harpreet Brar,15-20,7,45,32,6,4,2,9,0.3429493568750297
65fb3b78a95ef4ed608eafee,Harpreet Singh,1-6,2,21,19,1,2,1,9,0.5500636479359884
65fb3b78a95ef4ed608eafef,Harpreet Singh,7-14,2,33,32,1,3,0,12,0.5055775142731664
65fb3b78a95ef4ed608eaff0,Harpreet Singh,15-20,1,26,8,1,2,2,2,1.000216684723727
65fb3b78a95ef4ed608eaff1,Harry Brook,1-6,7,108,95,6,14,2,48,0.5607448831648121
65fb3b78a95ef4ed608eaff2,Harry Brook,7-14,4,54,37,2,4,2,13,0.701442956930649
65fb3b78a95ef4ed608eaff3,Harry Brook,15-20,3,40,27,1,4,0,3,0.9098283931357255
65fb3b78a95ef4ed608eaff4,Harshal Patel,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaff5,Harshal Patel,7-14,2,7,6,3,0,1,4,0.1382488479262673
65fb3b78a95ef4ed608eaff6,Harshal Patel,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaff7,Harshit Rana,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaff8,Harshit Rana,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaff9,Harshit Rana,15-20,1,0,1,1,0,0,1,0
65fb3b78a95ef4ed608eaffa,Heinrich Klaasen,1-6,3,46,26,0,7,1,8,2.345132035209389
65fb3b78a95ef4ed608eaffb,Heinrich Klaasen,7-14,10,245,145,2,14,13,24,2.588901555901668
65fb3b78a95ef4ed608eaffc,Heinrich Klaasen,15-20,9,169,91,8,11,11,16,0.9506170600478451
65fb3b78a95ef4ed608eaffd,Hrithik Shokeen,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eaffe,Hrithik Shokeen,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eafff,Hrithik Shokeen,15-20,3,26,19,1,4,0,5,0.7536746532156368
65fb3b78a95ef4ed608eb000,Ishan Kishan,1-6,15,369,264,12,43,15,109,1.0456648144764322
65fb3b78a95ef4ed608eb001,Ishan Kishan,7-14,7,95,59,6,11,3,16,0.6768707947675809
65fb3b78a95ef4ed608eb002,Ishan Kishan,15-20,1,1,2,1,0,0,1,0.273972602739726
65fb3b78a95ef4ed608eb003,Ishant Sharma,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb004,Ishant Sharma,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb005,Ishant Sharma,15-20,1,1,1,0,0,0,0,1
65fb3b78a95ef4ed608eb006,Jason Behrendorff,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb007,Jason Behrendorff,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb008,Jason Behrendorff,15-20,2,6,9,0,0,0,3,0.5607476635514019
65fb3b78a95ef4ed608eb009,Jason Holder,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb00a,Jason Holder,7-14,1,12,10,1,0,1,3,0.4
65fb3b78a95ef4ed608eb00b,Jason Holder,15-20,2,1,2,1,0,0,1,0.273972602739726
65fb3b78a95ef4ed608eb00c,Jason Roy,1-6,7,197,136,4,29,6,60,1.3756403468292329
65fb3b78a95ef4ed608eb00d,Jason Roy,7-14,5,100,60,6,7,6,13,0.723956043956044
65fb3b78a95ef4ed608eb00e,Jason Roy,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb00f,Jaydev Unadkat,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb010,Jaydev Unadkat,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb011,Jaydev Unadkat,15-20,1,9,7,1,1,0,1,0.36914919257652445
65fb3b78a95ef4ed608eb012,Jitesh Sharma,1-6,5,16,21,2,3,0,14,0.28712446351931326
65fb3b78a95ef4ed608eb013,Jitesh Sharma,7-14,8,189,118,5,15,10,38,1.190520444627783
65fb3b78a95ef4ed608eb014,Jitesh Sharma,15-20,8,121,66,9,5,10,18,0.6207168917139956
65fb3b78a95ef4ed608eb015,Joe Root,1-6,1,10,15,1,1,0,8,0.2661971830985915
65fb3b78a95ef4ed608eb016,Joe Root,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb017,Joe Root,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb018,Jofra Archer,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb019,Jofra Archer,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb01a,Jofra Archer,15-20,2,4,4,0,0,0,1,0.7142857142857143
65fb3b78a95ef4ed608eb01b,Jos Buttler,1-6,14,232,168,10,27,7,70,0.7887242279643468
65fb3b78a95ef4ed608eb01c,Jos Buttler,7-14,6,151,101,6,10,6,23,0.7852803959238371
65fb3b78a95ef4ed608eb01d,Jos Buttler,15-20,3,52,29,4,7,1,6,0.5903052253103429
65fb3b78a95ef4ed608eb01e,Josh Hazlewood,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb01f,Josh Hazlewood,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb020,Josh Hazlewood,15-20,1,1,2,0,0,0,1,0.6060606060606061
65fb3b78a95ef4ed608eb021,KL Rahul,1-6,8,165,138,2,20,2,56,1.1330330387647205
65fb3b78a95ef4ed608eb022,KL Rahul,7-14,6,88,76,4,7,1,22,0.4951467011249621
65fb3b78a95ef4ed608eb023,KL Rahul,15-20,3,34,33,3,1,1,10,0.2687577199554521
65fb3b78a95ef4ed608eb024,KM Asif,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb025,KM Asif,7-14,1,0,2,1,0,0,2,0
65fb3b78a95ef4ed608eb026,KM Asif,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb027,Kagiso Rabada,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb028,Kagiso Rabada,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb029,Kagiso Rabada,15-20,2,0,2,1,0,0,2,0
65fb3b78a95ef4ed608eb02a,Karan Sharma,1-6,2,7,13,1,0,0,6,0.2292768959435626
65fb3b78a95ef4ed608eb02b,Karan Sharma,7-14,1,5,8,1,0,0,3,0.26143790849673204
65fb3b78a95ef4ed608eb02c,Karan Sharma,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb02d,Karn Sharma,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb02e,Karn Sharma,7-14,1,1,3,1,0,0,2,0.2521008403361345
65fb3b78a95ef4ed608eb02f,Karn Sharma,15-20,1,2,2,1,0,0,1,0.273972602739726
65fb3b78a95ef4ed608eb030,Kedar Jadhav,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb031,Kedar Jadhav,7-14,1,5,3,0,1,0,1,0.5797752808988764
65fb3b78a95ef4ed608eb032,Kedar Jadhav,15-20,1,7,7,0,0,0,2,0.6306306306306306
65fb3b78a95ef4ed608eb033,Krishnappa Gowtham,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb034,Krishnappa Gowtham,7-14,2,25,16,2,1,2,4,0.5162393162393163
65fb3b78a95ef4ed608eb035,Krishnappa Gowtham,15-20,5,45,28,2,1,3,6,0.6821910695742472
65fb3b78a95ef4ed608eb036,Krunal Pandya,1-6,8,38,43,3,5,0,25,0.33302908374064977
65fb3b78a95ef4ed608eb037,Krunal Pandya,7-14,8,145,114,9,8,5,39,0.4307862991099249
65fb3b78a95ef4ed608eb038,Krunal Pandya,15-20,5,24,15,4,2,1,2,0.2901060070671378
65fb3b78a95ef4ed608eb039,Kuldeep Yadav,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb03a,Kuldeep Yadav,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb03b,Kuldeep Yadav,15-20,10,37,50,3,2,0,25,0.187003003003003
65fb3b78a95ef4ed608eb03c,Kumar Kartikeya,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb03d,Kumar Kartikeya,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb03e,Kumar Kartikeya,15-20,1,7,7,2,1,0,3,0.18517618469015792
65fb3b78a95ef4ed608eb03f,Kyle Mayers,1-6,13,322,229,11,34,14,104,0.9411745390646519
65fb3b78a95ef4ed608eb040,Kyle Mayers,7-14,4,81,47,6,4,7,15,0.6374112456608756
65fb3b78a95ef4ed608eb041,Kyle Mayers,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb042,Lalit Yadav,1-6,1,4,6,0,0,0,3,0.5128205128205129
65fb3b78a95ef4ed608eb043,Lalit Yadav,7-14,3,39,25,2,5,0,3,0.6799245039819546
65fb3b78a95ef4ed608eb044,Lalit Yadav,15-20,4,28,31,5,3,0,14,0.1882749005338865
65fb3b78a95ef4ed608eb045,Liam Livingstone,1-6,6,33,34,4,4,0,18,0.2579969973909368
65fb3b78a95ef4ed608eb046,Liam Livingstone,7-14,5,147,98,3,11,7,24,1.353167733032242
65fb3b78a95ef4ed608eb047,Liam Livingstone,15-20,4,117,43,5,4,11,11,1.0800671193138984
65fb3b78a95ef4ed608eb048,Litton Das,1-6,1,4,4,1,1,0,3,0.15714285714285714
65fb3b78a95ef4ed608eb049,Litton Das,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb04a,Litton Das,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb04b,MS Dhoni,1-6,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb04c,MS Dhoni,7-14,1,0,1,1,0,0,1,0
65fb3b78a95ef4ed608eb04d,MS Dhoni,15-20,11,113,62,3,3,10,13,1.3475181814073587
65fb3b78a95ef4ed608eb04e,Mahipal Lomror,1-6,3,9,13,1,1,0,7,0.2649157120238428
65fb3b78a95ef4ed608eb04f,Mahipal Lomror,7-14,7,94,53,5,3,8,13,0.7837423504196146
65fb3b78a95ef4ed608eb050,Mahipal Lomror,15-20,5,48,35,5,7,0,9,0.3995089707271011
65fb3b78a95ef4ed608eb051,Manan Vohra,1-6,1,10,11,1,1,0,4,0.31788990825688074
65fb3b78a95ef4ed608eb052,Manan Vohra,7-14,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb053,Manan Vohra,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb054,Mandeep Singh,1-6,3,7,12,2,0,0,6,0.15625
65fb3b78a95ef4ed608eb055,Mandeep Singh,7-14,1,7,4,1,0,1,2,0.3007518796992481
65fb3b78a95ef4ed608eb056,Mandeep Singh,15-20,0,0,0,0,0,0,0,0
65fb3b78a95ef4ed608eb057,Manish Pandey,1-6,5,48,44,3,7,0,20,0.48176811594202906
65fb3b78a95ef4ed608eb058,Manish Pandey,7-14,7,110,92,6,8,3,31,0.4906585799986815
65fb3b78a95ef4ed608eb059,Manish Pandey,15-20,2,12,13,2,0,0,3,0.17603249830737983
65fb3b78a95ef4ed608eb05a,Marco Jansen,1-6,1,1,1,0,0,0,0,1
65fb3b78a95ef4ed608eb05b,Marco Jansen,7-14,3,7,10,1,0,0,4,0.25
65fb3b78a95ef4ed608eb05c,Marco Jansen,15-20,5,38,34,4,4,0,11,0.293337471257882
65fb3b78a95ef4ed608eb05d,Marcus Stoinis,1-6,7,68,53,3,8,2,24,0.6905870303054646
65fb3b78a95ef4ed608eb05e,Marcus Stoinis,7-14,12,238,169,7,15,13,52,1.0091950228826552
